"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,100,1,"reiter",0.0273655849176216,93.9204402601056,0.5,0.926829268292683,1,3,6
"ecoli",46,100,100,2,"old",0.0273702022895504,Inf,0.5,0.975609756097561,0.975609756097561,2,7
"ecoli",46,100,100,2,"br",0.02747012286777,91.4415931270475,0.5,0.975609756097561,0.975609756097561,2,9
"ecoli",46,100,100,2,"reiter",0.02753424359613,93.8321009548338,0.5,0.975609756097561,0.975609756097561,2,8
"ecoli",46,100,100,3,"old",0.0226830980263708,Inf,0.5,0.906976744186046,1,4,14
"ecoli",46,100,100,3,"br",0.0226645435534204,92.0502631235923,0.5,0.906976744186046,1,4,14
"ecoli",46,100,100,3,"reiter",0.0226645435534204,94.0493390040795,0.5,0.906976744186046,1,4,14
"ecoli",46,100,100,4,"old",0.0157117688781088,Inf,0.5,0.975609756097561,0.952380952380952,3,13
"ecoli",46,100,100,4,"br",0.0159312298281562,92.6711343432145,0.5,0.975609756097561,0.975609756097561,2,11
"ecoli",46,100,100,4,"reiter",0.0159312298281562,94.0791163943911,0.5,0.975609756097561,0.975609756097561,2,11
"ecoli",46,100,100,5,"old",0.0216730612987013,Inf,0.5,0.948717948717949,0.925,5,13
"ecoli",46,100,100,5,"br",0.0216572833130923,92.1069071014418,0.5,0.974358974358974,0.95,3,9
"ecoli",46,100,100,5,"reiter",0.0217348297345948,94.0047412167415,0.5,0.948717948717949,0.948717948717949,4,12
"ecoli",46,100,100,6,"old",0.0241653334364157,Inf,0.5,0.95,0.95,4,11
"ecoli",46,100,100,6,"br",0.0240267233771297,91.8975777543776,0.5,0.95,0.95,4,11
"ecoli",46,100,100,6,"reiter",0.0240258202146991,94.0149567549555,0.5,0.95,0.95,4,11
"ecoli",46,100,100,7,"old",0.0237496908853713,Inf,0.5,0.976190476190476,0.953488372093023,3,8
"ecoli",46,100,100,7,"br",0.0237159921089677,91.9131841061731,0.5,1,0.976744186046512,1,3
"ecoli",46,100,100,7,"reiter",0.0237159921089677,94.0013106470326,0.5,1,0.976744186046512,1,3
"ecoli",46,100,100,8,"old",0.017300628593047,Inf,0.5,1,0.977272727272727,1,1
"ecoli",46,100,100,8,"br",0.0173528400532042,92.4844046808303,0.5,0.976744186046512,0.976744186046512,2,2
"ecoli",46,100,100,8,"reiter",0.0173528400532042,94.0168348681415,0.5,0.976744186046512,0.976744186046512,2,2
"ecoli",46,100,100,9,"old",0.0214028166295146,Inf,0.5,0.953488372093023,1,2,4
"ecoli",46,100,100,9,"br",0.0214516814849685,92.1762671091232,0.5,0.953488372093023,1,2,4
"ecoli",46,100,100,9,"reiter",0.0214516814849685,94.0729399484188,0.5,0.953488372093023,1,2,4
"ecoli",46,100,100,10,"old",0.0262947210444324,Inf,0.5,0.952380952380952,1,2,7
"ecoli",46,100,100,10,"br",0.0263734498625832,91.6016609386463,0.5,0.904761904761905,1,4,13
"ecoli",46,100,100,10,"reiter",0.0263734498625832,93.9208629414761,0.5,0.904761904761905,1,4,13
"ecoli",46,100,100,1,"old",0.0384066586482811,Inf,0.9,0.953488372093023,0.976190476190476,3,10
