"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"138",33,10,100,NA,"old",NA,0.978723404255319,0.978723404255319,4,94,94
"139",33,100,100,NA,"old",NA,0.978723404255319,0.978723404255319,4,94,94
"140",33,1000,100,NA,"old",NA,0.978723404255319,0.978723404255319,4,94,94
"142",33,10,100,NA,"old",NA,0.988095238095238,0.988095238095238,2,84,84
"143",33,100,100,NA,"old",NA,0.964285714285714,0.98780487804878,4,82,84
"144",33,1000,100,NA,"old",NA,0.976190476190476,0.987951807228916,3,83,84
"146",33,10,100,NA,"old",NA,1,0.938271604938272,5,81,76
"147",33,100,100,NA,"old",NA,0.986842105263158,0.949367088607595,5,79,76
"148",33,1000,100,NA,"old",NA,0.986842105263158,0.9375,6,80,76
"150",33,10,100,NA,"old",NA,0.973684210526316,0.961038961038961,5,77,76
"151",33,100,100,NA,"old",NA,0.986842105263158,0.986842105263158,2,76,76
"152",33,1000,100,NA,"old",NA,0.973684210526316,0.986666666666667,3,75,76
"154",33,10,100,NA,"old",NA,0.964285714285714,0.98780487804878,4,82,84
"155",33,100,100,NA,"old",NA,0.952380952380952,1,4,80,84
"156",33,1000,100,NA,"old",NA,0.964285714285714,0.98780487804878,4,82,84
"158",33,10,100,NA,"old",NA,0.967032967032967,0.977777777777778,5,90,91
"159",33,100,100,NA,"old",NA,0.967032967032967,0.977777777777778,5,90,91
"160",33,1000,100,NA,"old",NA,0.967032967032967,0.977777777777778,5,90,91
"162",33,10,100,NA,"old",NA,0.938144329896907,1,6,91,97
"163",33,100,100,NA,"old",NA,0.948453608247423,1,5,92,97
"164",33,1000,100,NA,"old",NA,0.948453608247423,1,5,92,97
"166",33,10,100,NA,"old",NA,0.986486486486487,0.973333333333333,3,75,74
"167",33,100,100,NA,"old",NA,0.972972972972973,0.972972972972973,4,74,74
"168",33,1000,100,NA,"old",NA,0.972972972972973,0.96,5,75,74
"170",33,10,100,NA,"old",NA,0.97752808988764,0.956043956043956,6,91,89
"171",33,100,100,NA,"old",NA,0.97752808988764,0.956043956043956,6,91,89
"172",33,1000,100,NA,"old",NA,0.97752808988764,0.956043956043956,6,91,89
"174",33,10,100,NA,"old",NA,0.954545454545455,0.96551724137931,7,87,88
"175",33,100,100,NA,"old",NA,0.954545454545455,0.96551724137931,7,87,88
"176",33,1000,100,NA,"old",NA,0.954545454545455,0.96551724137931,7,87,88
"178",33,10,100,NA,"old",NA,0.986486486486487,0.960526315789474,4,76,74
"179",33,100,100,NA,"old",NA,0.986486486486487,0.948051948051948,5,77,74
"180",33,1000,100,NA,"old",NA,0.986486486486487,0.948051948051948,5,77,74
"182",33,10,100,NA,"old",NA,0.988636363636364,0.966666666666667,4,90,88
"183",33,100,100,NA,"old",NA,0.988636363636364,0.97752808988764,3,89,88
