"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"164",33,1000,3000,NA,"br",NA,0.959183673469388,0.979166666666667,6,96,98
"165",33,1,3000,NA,NA,NA,0.948717948717949,0.86046511627907,16,86,78
"166",33,10,3000,NA,"br",NA,0.974358974358974,0.962025316455696,5,79,78
"167",33,100,3000,NA,"br",NA,0.974358974358974,0.938271604938272,7,81,78
"168",33,1000,3000,NA,"br",NA,0.974358974358974,0.95,6,80,78
"169",33,1,3000,NA,NA,NA,0.989247311827957,0.929292929292929,8,99,93
"170",33,10,3000,NA,"br",NA,0.989247311827957,0.958333333333333,5,96,93
"171",33,100,3000,NA,"br",NA,0.989247311827957,0.958333333333333,5,96,93
"172",33,1000,3000,NA,"br",NA,0.989247311827957,0.958333333333333,5,96,93
"173",33,1,3000,NA,NA,NA,0.956521739130435,0.926315789473684,11,95,92
"174",33,10,3000,NA,"br",NA,0.945652173913043,0.988636363636364,6,88,92
"175",33,100,3000,NA,"br",NA,0.945652173913043,0.966666666666667,8,90,92
"176",33,1000,3000,NA,"br",NA,0.945652173913043,0.966666666666667,8,90,92
"177",33,1,3000,NA,NA,NA,0.962025316455696,0.894117647058824,12,85,79
"178",33,10,3000,NA,"br",NA,0.962025316455696,0.95,7,80,79
"179",33,100,3000,NA,"br",NA,0.949367088607595,0.9375,9,80,79
"180",33,1000,3000,NA,"br",NA,0.949367088607595,0.9375,9,80,79
"181",33,1,3000,NA,NA,NA,0.977777777777778,0.956521739130435,6,92,90
"182",33,10,3000,NA,"br",NA,1,0.967741935483871,3,93,90
"183",33,100,3000,NA,"br",NA,0.988888888888889,0.967391304347826,4,92,90
"184",33,1000,3000,NA,"br",NA,0.988888888888889,0.967391304347826,4,92,90
"185",33,1,3000,NA,NA,NA,0.981132075471698,0.990476190476191,3,105,106
"186",33,10,3000,NA,"br",NA,0.981132075471698,0.962962962962963,6,108,106
"187",33,100,3000,NA,"br",NA,0.981132075471698,0.990476190476191,3,105,106
"188",33,1000,3000,NA,"br",NA,0.981132075471698,0.97196261682243,5,107,106
"189",33,1,3000,NA,NA,NA,0.962962962962963,0.951219512195122,7,82,81
"190",33,10,3000,NA,"br",NA,0.962962962962963,0.975,5,80,81
"191",33,100,3000,NA,"br",NA,0.962962962962963,0.975,5,80,81
"192",33,1000,3000,NA,"br",NA,0.962962962962963,0.975,5,80,81
"193",33,1,3000,NA,NA,NA,0.976744186046512,0.91304347826087,10,92,86
"194",33,10,3000,NA,"br",NA,0.965116279069767,0.965116279069767,6,86,86
"195",33,100,3000,NA,"br",NA,0.965116279069767,0.965116279069767,6,86,86
"196",33,1000,3000,NA,"br",NA,0.965116279069767,0.965116279069767,6,86,86
"197",33,1,3000,NA,NA,NA,0.967391304347826,0.927083333333333,10,96,92
"198",33,10,3000,NA,"br",NA,0.967391304347826,0.988888888888889,4,90,92
"199",33,100,3000,NA,"br",NA,0.967391304347826,0.978021978021978,5,91,92
"200",33,1000,3000,NA,"br",NA,0.967391304347826,0.978021978021978,5,91,92
"201",33,1,3000,NA,NA,NA,0.97752808988764,0.925531914893617,9,94,89
"202",33,10,3000,NA,"br",NA,0.98876404494382,0.956521739130435,5,92,89
