"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"74",33,10,100,NA,"reiter",NA,0.409090909090909,0.9,14,22
"75",33,100,100,NA,"old",NA,0.409090909090909,0.9,14,21
"76",33,100,100,NA,"br",NA,0.409090909090909,0.9,14,21
"77",33,100,100,NA,"reiter",NA,0.409090909090909,0.9,14,21
"78",33,1000,100,NA,"old",NA,0.454545454545455,0.909090909090909,13,17
"79",33,1000,100,NA,"br",NA,0.454545454545455,1,12,17
"80",33,1000,100,NA,"reiter",NA,0.454545454545455,1,12,17
"81",33,1,100,NA,NA,NA,0.5,0.272727272727273,33,37
"82",33,10,100,NA,"old",NA,0.277777777777778,0.714285714285714,15,17
"83",33,10,100,NA,"br",NA,0.333333333333333,0.5,18,20
"84",33,10,100,NA,"reiter",NA,0.333333333333333,0.545454545454545,17,19
"85",33,100,100,NA,"old",NA,0.444444444444444,0.615384615384615,15,17
"86",33,100,100,NA,"br",NA,0.444444444444444,0.615384615384615,15,17
"87",33,100,100,NA,"reiter",NA,0.444444444444444,0.615384615384615,15,17
"88",33,1000,100,NA,"old",NA,0.444444444444444,0.571428571428571,16,18
"89",33,1000,100,NA,"br",NA,0.444444444444444,0.666666666666667,14,17
"90",33,1000,100,NA,"reiter",NA,0.444444444444444,0.666666666666667,14,17
"91",33,1,100,NA,NA,NA,0.391304347826087,0.321428571428571,33,36
"92",33,10,100,NA,"old",NA,0.217391304347826,0.625,21,23
"93",33,10,100,NA,"br",NA,0.260869565217391,0.6,21,25
"94",33,10,100,NA,"reiter",NA,0.217391304347826,0.555555555555556,22,25
"95",33,100,100,NA,"old",NA,0.304347826086957,0.583333333333333,21,25
"96",33,100,100,NA,"br",NA,0.304347826086957,0.538461538461538,22,26
"97",33,100,100,NA,"reiter",NA,0.304347826086957,0.583333333333333,21,25
"98",33,1000,100,NA,"old",NA,0.304347826086957,0.583333333333333,21,25
"99",33,1000,100,NA,"br",NA,0.304347826086957,0.538461538461538,22,26
"100",33,1000,100,NA,"reiter",NA,0.304347826086957,0.538461538461538,22,26
"101",33,1,100,NA,NA,NA,0.37037037037037,0.357142857142857,35,36
"102",33,10,100,NA,"old",NA,0.185185185185185,0.833333333333333,23,27
"103",33,10,100,NA,"br",NA,0.481481481481481,0.8125,17,22
"104",33,10,100,NA,"reiter",NA,0.444444444444444,0.857142857142857,17,22
"105",33,100,100,NA,"old",NA,0.481481481481481,0.8125,17,22
"106",33,100,100,NA,"br",NA,0.481481481481481,0.8125,17,22
"107",33,100,100,NA,"reiter",NA,0.481481481481481,0.8125,17,22
