"","p","m","alpha","run_time"
"339",100,1000,0.01,0.298895359039307
"340",100,1000,0.01,0.326020956039429
"341",100,1000,0.01,0.454061031341553
"342",100,1000,0.01,0.261116743087769
"343",100,1000,0.01,0.45249342918396
"344",100,1000,0.01,0.259994506835938
"345",100,1000,0.01,0.298105239868164
"346",100,1000,0.01,0.461629867553711
"347",100,1000,0.01,0.297356843948364
"348",100,1000,0.01,0.321944952011108
"349",100,1000,0.01,0.458282232284546
"350",100,1000,0.01,0.260936737060547
"351",100,1000,0.01,0.299705743789673
"352",100,1000,0.01,0.449546813964844
"353",100,1000,0.01,0.298966407775879
"354",100,1000,0.01,0.294594049453735
"355",100,1000,0.01,0.299399614334106
"356",100,1000,0.01,0.312137126922607
"357",100,1000,0.01,0.260647296905518
"358",100,1000,0.01,0.306543350219727
"359",100,1000,0.01,0.44817066192627
"360",100,1000,0.01,0.295637607574463
"361",100,1000,0.01,0.322909832000732
"362",100,1000,0.01,0.441866636276245
"363",100,1000,0.01,0.293163776397705
"364",100,1000,0.01,0.316378355026245
"365",100,1000,0.01,0.265604972839355
"366",100,1000,0.01,0.303459882736206
"367",100,1000,0.01,0.457686901092529
"368",100,1000,0.01,0.291312694549561
"369",100,1000,0.01,0.32543683052063
"370",100,1000,0.01,0.455587148666382
"371",100,1000,0.01,0.260294914245605
"372",100,1000,0.01,0.461560249328613
"373",100,1000,0.01,0.261018514633179
"374",100,1000,0.01,0.28862190246582
"375",100,1000,0.01,0.44329047203064
"376",100,1000,0.01,0.303046703338623
"377",100,1000,0.01,0.308302164077759
"378",100,1000,0.01,0.259859561920166
"379",100,1000,0.01,0.296780824661255
"380",100,1000,0.01,0.457130193710327
"381",100,1000,0.01,0.295514822006226
"382",100,1000,0.01,0.4583899974823
"383",100,1000,0.01,0.263037204742432
"384",100,1000,0.01,0.290205240249634
"385",100,1000,0.01,0.458083152770996
"386",100,1000,0.01,0.302067279815674
"387",100,1000,0.01,0.322703838348389
"388",100,1000,0.01,0.45857310295105
"389",100,1000,0.01,0.258912801742554
"390",100,1000,0.01,0.300854444503784
"391",100,1000,0.01,0.444467544555664
"392",100,1000,0.01,0.300352573394775
"393",100,1000,0.01,0.314206600189209
"394",100,1000,0.01,0.26129412651062
"395",100,1000,0.01,0.307961463928223
"396",100,1000,0.01,0.453428745269775
"397",100,1000,0.01,0.297256946563721
"398",100,1000,0.01,0.313739061355591
"399",100,1000,0.01,0.262511491775513
"400",100,1000,0.01,0.295798063278198
"401",100,1,0.05,0.0381040573120117
"402",100,1,0.05,0.0381977558135986
"403",100,1,0.05,0.0355024337768555
"404",100,1,0.05,0.0348837375640869
"405",100,1,0.05,0.0358994007110596
"406",100,1,0.05,0.0581903457641602
"407",100,1,0.05,0.0372669696807861
"408",100,1,0.05,0.0392374992370605
"409",100,1,0.05,0.0342221260070801
"410",100,1,0.05,0.0347728729248047
"411",100,1,0.05,0.034801721572876
