"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,10,1000,5,"reiter",0.9,1,0.842592592592593,1,10
"ecoli",46,10,1000,6,"old",0.9,0.975,0.696428571428571,2,2
"ecoli",46,10,1000,6,"br",0.9,0.975,0.696428571428571,2,2
"ecoli",46,10,1000,6,"reiter",0.9,0.975,0.696428571428571,2,2
"ecoli",46,10,1000,7,"old",0.9,0.974025974025974,0.694444444444444,3,4
"ecoli",46,10,1000,7,"br",0.9,0.974025974025974,0.694444444444444,3,4
"ecoli",46,10,1000,7,"reiter",0.9,0.974025974025974,0.694444444444444,3,4
"ecoli",46,10,1000,8,"old",0.9,0.978260869565217,0.818181818181818,1,1
"ecoli",46,10,1000,8,"br",0.9,0.978260869565217,0.818181818181818,1,1
"ecoli",46,10,1000,8,"reiter",0.9,0.978260869565217,0.818181818181818,1,1
"ecoli",46,10,1000,9,"old",0.9,0.986111111111111,0.645454545454546,1,13
"ecoli",46,10,1000,9,"br",0.9,0.986111111111111,0.645454545454546,1,13
"ecoli",46,10,1000,9,"reiter",0.9,0.986111111111111,0.645454545454546,1,13
"ecoli",46,10,1000,10,"old",0.9,0.968421052631579,0.793103448275862,4,23
"ecoli",46,10,1000,10,"br",0.9,0.968421052631579,0.793103448275862,4,23
"ecoli",46,10,1000,10,"reiter",0.9,0.968421052631579,0.793103448275862,4,23
"ecoli",46,10,25,1,"old",0.1,0.75,0.625,11,12
"ecoli",46,10,25,1,"br",0.1,0.75,0.625,11,12
"ecoli",46,10,25,1,"reiter",0.1,0.75,0.625,11,12
"ecoli",46,10,25,2,"old",0.1,0.931818181818182,0.732142857142857,3,4
"ecoli",46,10,25,2,"br",0.1,0.931818181818182,0.732142857142857,3,4
"ecoli",46,10,25,2,"reiter",0.1,0.931818181818182,0.732142857142857,3,4
"ecoli",46,10,25,3,"old",0.1,0.869565217391304,0.8,3,3
"ecoli",46,10,25,3,"br",0.1,0.869565217391304,0.769230769230769,4,4
"ecoli",46,10,25,3,"reiter",0.1,0.869565217391304,0.769230769230769,4,4
"ecoli",46,10,25,4,"old",0.1,0.977777777777778,0.758620689655172,1,2
"ecoli",46,10,25,4,"br",0.1,0.977777777777778,0.758620689655172,1,2
"ecoli",46,10,25,4,"reiter",0.1,0.977777777777778,0.758620689655172,1,2
"ecoli",46,10,25,5,"old",0.1,0.808510638297872,0.76,6,8
"ecoli",46,10,25,5,"br",0.1,0.808510638297872,0.703703703703704,8,11
"ecoli",46,10,25,5,"reiter",0.1,0.808510638297872,0.703703703703704,8,11
"ecoli",46,10,25,6,"old",0.1,0.954545454545455,0.75,2,2
"ecoli",46,10,25,6,"br",0.1,0.954545454545455,0.75,2,2
"ecoli",46,10,25,6,"reiter",0.1,0.954545454545455,0.75,2,2
"ecoli",46,10,25,7,"old",0.1,0.767441860465116,0.717391304347826,6,6
"ecoli",46,10,25,7,"br",0.1,0.767441860465116,0.611111111111111,10,10
"ecoli",46,10,25,7,"reiter",0.1,0.767441860465116,0.634615384615385,9,9
"ecoli",46,10,25,8,"old",0.1,0.725490196078431,0.685185185185185,14,15
"ecoli",46,10,25,8,"br",0.1,0.725490196078431,0.637931034482759,16,17
"ecoli",46,10,25,8,"reiter",0.1,0.725490196078431,0.637931034482759,16,17
"ecoli",46,10,25,9,"old",0.1,1,0.732142857142857,0,2
"ecoli",46,10,25,9,"br",0.1,1,0.732142857142857,0,2
"ecoli",46,10,25,9,"reiter",0.1,1,0.732142857142857,0,2
"ecoli",46,10,25,10,"old",0.1,0.909090909090909,0.666666666666667,5,5
"ecoli",46,10,25,10,"br",0.1,0.909090909090909,0.666666666666667,5,5
"ecoli",46,10,25,10,"reiter",0.1,0.909090909090909,0.666666666666667,5,5
"ecoli",46,10,25,1,"old",0.5,0.545454545454545,0.75,14,14
"ecoli",46,10,25,1,"br",0.5,0.590909090909091,0.764705882352941,13,13
"ecoli",46,10,25,1,"reiter",0.5,0.545454545454545,0.75,14,16
"ecoli",46,10,25,2,"old",0.5,0.68,0.739130434782609,12,16
"ecoli",46,10,25,2,"br",0.5,0.68,0.739130434782609,12,15
"ecoli",46,10,25,2,"reiter",0.5,0.68,0.739130434782609,12,15
